timestamp,slug,pnl,outcome,size,details
2025-12-15 19:30:24,btc-updown-15m-1765827000,0.09,UNWOUND,1,Unwound UP @ 0.55 (Entry 0.46)
2025-12-15 19:31:04,btc-updown-15m-1765827000,0.45,UNWOUND,5,Unwound UP @ 0.55 (Entry 0.46)
2025-12-15 19:31:04,btc-updown-15m-1765827000,0.9,UNWOUND,10,Unwound UP @ 0.55 (Entry 0.46)
2025-12-15 19:31:04,btc-updown-15m-1765827000,0.9,UNWOUND,10,Unwound UP @ 0.55 (Entry 0.46)
2025-12-15 19:45:24,btc-updown-15m-1765827900,0.45,UNWOUND,5,Unwound UP @ 0.55 (Entry 0.46)
2025-12-15 19:46:04,btc-updown-15m-1765827900,0.9,UNWOUND,10,Unwound UP @ 0.55 (Entry 0.46)
2025-12-15 19:46:04,btc-updown-15m-1765827900,0.09,UNWOUND,1,Unwound UP @ 0.55 (Entry 0.46)
2025-12-15 20:01:04,btc-updown-15m-1765828800,0.45,UNWOUND,5,Unwound UP @ 0.55 (Entry 0.46)
2025-12-15 20:16:04,btc-updown-15m-1765829700,0.9,UNWOUND,10,Unwound UP @ 0.55 (Entry 0.46)
2025-12-15 20:31:04,btc-updown-15m-1765830600,0.09,UNWOUND,1,Unwound UP @ 0.55 (Entry 0.46)
2025-12-15 21:00:00,btc-updown-15m-1765831500,0.0,SKIPPED,0,Market expired or preconditions not met
2025-12-15 21:15:01,btc-updown-15m-1765832400,0.0,SKIPPED,0,Market expired or preconditions not met
2025-12-15 21:15:36,btc-updown-15m-1765833300,-0.462,UNWOUND,15,Unwound DOWN @ 0.53 (Entry 0.56)
2025-12-15 21:30:27,btc-updown-15m-1765834200,-5.7,UNWOUND,15,Unwound DOWN @ 0.00 (Entry 0.38)
2025-12-15 21:45:41,btc-updown-15m-1765835100,-7.05,UNWOUND,15,Unwound DOWN @ 0.00 (Entry 0.47)
2025-12-15 22:00:27,btc-updown-15m-1765836000,-7.5,UNWOUND,15,Unwound DOWN @ 0.00 (Entry 0.50)
2025-12-15 22:15:45,btc-updown-15m-1765836900,-8.1,UNWOUND,15,Unwound DOWN @ 0.00 (Entry 0.54)
2025-12-15 22:45:01,btc-updown-15m-1765837800,0.0,SKIPPED,0,Market expired or preconditions not met
2025-12-15 23:15:01,btc-updown-15m-1765839600,0.0,SKIPPED,0,Market expired or preconditions not met
2025-12-16 22:45:00,btc-updown-15m-1765924200,0.0,SKIPPED,0,Market expired or preconditions not met
2025-12-16 23:00:00,btc-updown-15m-1765925100,0.45,FULL_STRADDLE,15,Bought UP@0.37 DOWN@0.60
2025-12-16 23:15:00,btc-updown-15m-1765926000,0.0,SKIPPED,0,Market expired or preconditions not met
2025-12-16 23:45:00,btc-updown-15m-1765927800,0.0,SKIPPED,0.0,Market expired or preconditions not met
