time_utc,timestamp,side,price,size,usd_volume,q_yes,q_no,exposure,locked_pnl,tx_hash,outcome
2025-12-12T22:48:48,1765579728,YES,0.2599999040475973,6.461537,1.6799989999999998,551.1996460000001,708.659986,631.4305769999995,-80.23093099999937,0xf0c8f98dbaabc0950b6e31eaf8af0a6b821694c7807e43df61f85ed6e69ef279,up
2025-12-12T22:48:50,1765579730,NO,0.75,5.0,3.75,551.1996460000001,713.659986,635.1805769999995,-83.98093099999937,0x629e408f5fa702ceedfed8b092d97cbe379fc66a8b642b5ea125f5bf2363e7b8,down
2025-12-12T22:48:50,1765579730,YES,0.25999989086417596,6.230768,1.619999,557.4304140000002,713.659986,636.8005759999995,-79.37016199999937,0xe0b0db9c99dcdd0bfd3a1999e293a601d336e3e995aab5cb9c3d9fbb4fd1da94,up
2025-12-12T22:48:50,1765579730,NO,0.75,6.08,4.5600000000000005,557.4304140000002,719.739986,641.3605759999995,-83.93016199999931,0x8480efa60b9f63ec4eb9c17b055ccb467e4b0c7d2f70b96146a5744c8f719d58,down
2025-12-12T22:48:50,1765579730,YES,0.27,6.0,1.62,563.4304140000002,719.739986,642.9805759999995,-79.55016199999932,0x4df23ddf90d7b30a823626beb664e068e6a728a2725bcd0e0f8f6eb62eeef827,up
2025-12-12T22:48:52,1765579732,YES,0.27,6.0,1.62,569.4304140000002,719.739986,644.6005759999995,-75.17016199999932,0xe9574a3182189b331da17e21eddd40a312b68df3bf8bf923eb36f69c7e59ab78,up
2025-12-12T22:48:52,1765579732,NO,0.75,6.0,4.5,569.4304140000002,725.739986,649.1005759999995,-79.67016199999932,0x819773a9627147e5eddf1691e77db724b0c04b1185d7e8c4de725576021d4bc0,down
2025-12-12T22:48:52,1765579732,YES,0.25,20.0,5.0,589.4304140000002,725.739986,654.1005759999995,-64.67016199999932,0x0aba30a66214d3e51052e2501b8be075962cb6a2be553775dcdda832b6e74971,up
2025-12-12T22:48:52,1765579732,YES,0.27,6.0,1.62,595.4304140000002,725.739986,655.7205759999995,-60.29016199999933,0x4b2d57398fafe22057cfa5e69a4bdbf4333f1f4523f29a28979b972794242f0f,up
2025-12-12T22:50:12,1765579812,NO,0.78742,10.0,7.8742,595.4304140000002,735.739986,663.5947759999995,-68.1643619999993,0x57d00ec52c2ebff39234ace53a662dbd3d195dec8616113ba047f8e8d359c515,down
2025-12-12T22:50:12,1765579812,YES,0.23,10.0,2.3000000000000003,605.4304140000002,735.739986,665.8947759999994,-60.464361999999255,0x203c4c3600c3fec1288ddd1a74854e4d4a5da1895505f7fa3e2238f874010c0d,up
2025-12-12T22:50:14,1765579814,YES,0.25,10.0,2.5,615.4304140000002,735.739986,668.3947759999994,-52.964361999999255,0xc08f83114943dbe40caf7c5b80489ba02eeb5ec66dae6cd0d26b688c76f919bf,up
2025-12-12T22:50:14,1765579814,YES,0.25,6.0,1.5,621.4304140000002,735.739986,669.8947759999994,-48.464361999999255,0xe5980d0a6052fc543dff7a1195ae733ad0623f3a2b96d93262f35c1fd2f7288f,up
2025-12-12T22:50:14,1765579814,NO,0.75,333.0,249.75,621.4304140000002,1068.739986,919.6447759999994,-298.21436199999926,0xb080d0f9a169e8a797d804e33224d81cc7b599b6bcfdca74e7974494927a0b0c,down
2025-12-12T22:50:14,1765579814,YES,0.25,10.0,2.5,631.4304140000002,1068.739986,922.1447759999994,-290.71436199999926,0x1820abc9203650d5ab5f0dd37005b4b9e236188d64e5093eb0de99bd469be742,up
