timestamp,dt,slug,state,best_bid_yes,best_ask_yes,best_bid_no,best_ask_no,q_yes,q_no,fills_yes,fills_no,exposure,mtm_pnl,lock_pnl,decision,time_rem,btc_price,btc_delta,btc_conf,btc_bias,fair_yes,fair_no
1765744346,2025-12-14 21:32:26,btc-updown-15m-1765744200,IDLE,0.48,0.49,0.51,0.52,0.0,0.0,0,0,0.0,0.0,0.0,IDLE,754,0.0,0.0,0.0,NEUTRAL,0.482,0.518
1765744349,2025-12-14 21:32:29,btc-updown-15m-1765744200,IDLE,0.48,0.49,0.51,0.52,0.0,0.0,0,0,0.0,0.0,0.0,IDLE,751,0.0,0.0,0.0,NEUTRAL,0.481,0.519
1765744354,2025-12-14 21:32:34,btc-updown-15m-1765744200,IDLE,0.47,0.49,0.51,0.53,0.0,0.0,0,0,0.0,0.0,0.0,IDLE,746,0.0,0.0,0.0,NEUTRAL,0.474,0.526
1765744358,2025-12-14 21:32:38,btc-updown-15m-1765744200,IDLE,0.46,0.49,0.52,0.53,0.0,0.0,0,0,0.0,0.0,0.0,IDLE,743,0.0,0.0,0.0,NEUTRAL,0.473,0.526
1765744360,2025-12-14 21:32:40,btc-updown-15m-1765744200,IDLE,0.47,0.48,0.52,0.54,0.0,0.0,0,0,0.0,0.0,0.0,IDLE,739,0.0,0.0,0.0,NEUTRAL,0.47,0.532
1765744364,2025-12-14 21:32:44,btc-updown-15m-1765744200,IDLE,0.44,0.45,0.55,0.56,0.0,0.0,0,0,0.0,0.0,0.0,IDLE,736,0.0,0.0,0.0,NEUTRAL,0.44,0.559
1765744368,2025-12-14 21:32:48,btc-updown-15m-1765744200,IDLE,0.43,0.44,0.56,0.57,0.0,0.0,0,0,0.0,0.0,0.0,IDLE,731,0.0,0.0,0.0,NEUTRAL,0.437,0.563
1765744372,2025-12-14 21:32:52,btc-updown-15m-1765744200,IDLE,0.43,0.44,0.56,0.57,0.0,0.0,0,0,0.0,0.0,0.0,IDLE,728,0.0,0.0,0.0,NEUTRAL,0.437,0.563
1765744375,2025-12-14 21:32:55,btc-updown-15m-1765744200,IDLE,0.43,0.44,0.56,0.57,0.0,0.0,0,0,0.0,0.0,0.0,IDLE,725,0.0,0.0,0.0,NEUTRAL,0.44,0.56
1765744379,2025-12-14 21:32:59,btc-updown-15m-1765744200,IDLE,0.43,0.44,0.55,0.57,0.0,0.0,0,0,0.0,0.0,0.0,IDLE,722,0.0,0.0,0.0,NEUTRAL,0.439,0.562
1765744384,2025-12-14 21:33:04,btc-updown-15m-1765744200,IDLE,0.42,0.43,0.57,0.58,0.0,0.0,0,0,0.0,0.0,0.0,IDLE,716,0.0,0.0,0.0,NEUTRAL,0.43,0.572
1765744387,2025-12-14 21:33:07,btc-updown-15m-1765744200,IDLE,0.42,0.43,0.57,0.58,0.0,0.0,0,0,0.0,0.0,0.0,IDLE,713,0.0,0.0,0.0,NEUTRAL,0.422,0.58
1765744391,2025-12-14 21:33:11,btc-updown-15m-1765744200,IDLE,0.41,0.42,0.58,0.59,0.0,0.0,0,0,0.0,0.0,0.0,IDLE,710,0.0,0.0,0.0,NEUTRAL,0.42,0.58
1765744395,2025-12-14 21:33:15,btc-updown-15m-1765744200,IDLE,0.41,0.42,0.58,0.59,0.0,0.0,0,0,0.0,0.0,0.0,IDLE,705,0.0,0.0,0.0,NEUTRAL,0.42,0.58
